period,vaccine,facilities,jurisdiction,doses,ge_16_pop,total_pop
Weeks 1 - 25 (22 Feb),Pfizer,States andTerritories,NSW,1692289,6565651,8167532
Weeks 1 - 25 (22 Feb),AZ,States andTerritories,NSW,162055,6565651,8167532
Week 26 (16 Aug),Pfizer,States andTerritories,NSW,265811,6565651,8167532
Week 26 (16 Aug),AZ,States andTerritories,NSW,13821,6565651,8167532
Week 27 (23 Aug),Pfizer,States andTerritories,NSW,280421,6565651,8167532
Week 27 (23 Aug),AZ,States andTerritories,NSW,11798,6565651,8167532
Total (Week 1 - Week 27),Pfizer,States andTerritories,NSW,2238521,6565651,8167532
Total (Week 1 - Week 27),AZ,States andTerritories,NSW,187674,6565651,8167532
Weeks 1 - 25 (22 Feb),Pfizer,Aged Care &Disability(residentsand staff),NSW,306396,6565651,8167532
Weeks 1 - 25 (22 Feb),AZ,Aged Care &Disability(residentsand staff),NSW,153,6565651,8167532
Week 26 (16 Aug),Pfizer,Aged Care &Disability(residentsand staff),NSW,28439,6565651,8167532
Week 26 (16 Aug),AZ,Aged Care &Disability(residentsand staff),NSW,103,6565651,8167532
Week 27 (23 Aug),Pfizer,Aged Care &Disability(residentsand staff),NSW,26820,6565651,8167532
Week 27 (23 Aug),AZ,Aged Care &Disability(residentsand staff),NSW,63,6565651,8167532
Total (Week 1 - Week 27),Pfizer,Aged Care &Disability(residentsand staff),NSW,361655,6565651,8167532
Total (Week 1 - Week 27),AZ,Aged Care &Disability(residentsand staff),NSW,319,6565651,8167532
Weeks 1 - 25 (22 Feb),Pfizer,"GPs, CVCs, ACCHS & Pharmacies",NSW,504449,6565651,8167532
Weeks 1 - 25 (22 Feb),AZ,"GPs, CVCs, ACCHS & Pharmacies",NSW,2583394,6565651,8167532
Week 26 (16 Aug),Pfizer,"GPs, CVCs, ACCHS & Pharmacies",NSW,158113,6565651,8167532
Week 26 (16 Aug),AZ,"GPs, CVCs, ACCHS & Pharmacies",NSW,277635,6565651,8167532
Week 27 (23 Aug),Pfizer,"GPs, CVCs, ACCHS & Pharmacies",NSW,147477,6565651,8167532
Week 27 (23 Aug),AZ,"GPs, CVCs, ACCHS & Pharmacies",NSW,245710,6565651,8167532
